Card Name,Front Face Name,Color,Color Code,Color Identity,Mana Cost,Mana Value,Rarity,Card Type,Cast Bucket,Required Colors,Hybrid Colors,Archetype Size Min,Archetypes,J2SJosh Rating,Rating Note,Second Half,Second Half Cost,Layout,Scryfall URL,Image URL,Collector Number
"Emrakul, the Exigent Doom","Emrakul, the Exigent Doom",Colorless,C,C,{10},10,Mythic,Legendary Creature — Eldrazi,Colorless,,,0,|White||Blue||Black||Red||Green||White/Blue||White/Black||White/Red||White/Green||Blue/Black||Blue/Red||Blue/Green||Black/Red||Black/Green||Red/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||Black/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/1/emrakul-the-exigent-doom,https://cards.scryfall.io/normal/front/c/3/c3ff8dd3-88a8-49dc-a59b-e2748680623c.jpg?1789060137,1
Shatterwing Pegasus,Shatterwing Pegasus,White,W,W,{2}{W},3,Common,Creature — Pegasus,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/21/shatterwing-pegasus,https://cards.scryfall.io/normal/front/e/2/e29095de-59ec-4562-ba8e-73f952e457ae.jpg?1789385580,21
Surgical Precision,Surgical Precision,White,W,W,{1}{W},2,Common,Sorcery,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/22/surgical-precision,https://cards.scryfall.io/normal/front/d/3/d3acf176-ef02-4729-88c4-0f0dfbfdada4.jpg?1789385570,22
Unflinching Hortimancer,Unflinching Hortimancer,White,W,W,{1}{W},2,Common,Creature — Human Cleric,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/23/unflinching-hortimancer,https://cards.scryfall.io/normal/front/6/3/63f82985-c9c2-4d0a-ac4f-560166bebd9f.jpg?1789556741,23
Your Fate Ends Here,Your Fate Ends Here,White,W,W,{2}{W},3,Uncommon,Instant,Mono White,W,,1,|White||White/Blue||White/Black||White/Red||White/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||White/Black/Red||White/Black/Green||White/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||White/Black/Red/Green||White/Blue/Black/Red/Green|,3.5,,,,normal,https://scryfall.com/card/fra/24/your-fate-ends-here,https://cards.scryfall.io/normal/front/2/5/25000a17-b701-4d69-b2ef-2c74029199d3.jpg?1789729751,24
Countersculpt,Countersculpt,Blue,U,U,{U}{U},2,Uncommon,Instant,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.0,,,,normal,https://scryfall.com/card/fra/25/countersculpt,https://cards.scryfall.io/normal/front/1/4/145b928d-a7ff-4fe5-ae4d-bbae7b1d955b.jpg?1788878107,25
Cruel Calculations,Cruel Calculations,Blue,U,U,{2}{U},3,Rare,Sorcery,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,0.5,,,,normal,https://scryfall.com/card/fra/26/cruel-calculations,https://cards.scryfall.io/normal/front/f/7/f76c4d8e-3e1f-4264-99af-1b8adb9a06be.jpg?1789127482,26
Cryotheory Adept,Cryotheory Adept,Blue,U,U,{1}{U},2,Common,Creature — Human Wizard,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/27/cryotheory-adept,https://cards.scryfall.io/normal/front/9/b/9ba1f7ce-3404-4932-9795-22967707f762.jpg?1789556701,27
Diviner of Victory // Unwind History,Diviner of Victory,Blue,U,U,{U},1,Rare,Creature — Dwarf Wizard,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,Unwind History,{1}{U},prepare,https://scryfall.com/card/fra/28/diviner-of-victory-unwind-history,https://cards.scryfall.io/normal/front/0/8/0853bb80-8664-432a-8457-600139fd96d5.jpg?1788878145,28
Divining Duelist,Divining Duelist,Blue,U,U,{2}{U},3,Common,Creature — Merfolk Wizard,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/29/divining-duelist,https://cards.scryfall.io/normal/front/9/6/960c7335-331d-488b-be68-2ad1c1c695dc.jpg?1789556709,29
Icy Reception,Icy Reception,Blue,U,U,{1}{U},2,Common,Instant,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/30/icy-reception,https://cards.scryfall.io/normal/front/8/d/8d754b96-5e44-45af-9c7a-b0da59fbe4c3.jpg?1788779540,30
Infinite Coursework,Infinite Coursework,Blue,U,U,{2}{U},3,Common,Enchantment — Aura,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/31/infinite-coursework,https://cards.scryfall.io/normal/front/a/5/a5988272-faaa-463d-a0a1-a8e96b946bad.jpg?1789385916,31
Jace's Machinations,Jace's Machinations,Blue,U,U,{2}{U},3,Rare,Instant,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/32/jaces-machinations,https://cards.scryfall.io/normal/front/2/8/282588b9-3656-453b-aa25-2419e078ddc1.jpg?1788878150,32
Mindseeker Oculus,Mindseeker Oculus,Blue,U,U,{2}{U},3,Common,Creature — Homunculus,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.0,,,,normal,https://scryfall.com/card/fra/33/mindseeker-oculus,https://cards.scryfall.io/normal/front/f/5/f5324741-353a-4a70-adb2-b631b00806dd.jpg?1789556707,33
Perfected Theory,Perfected Theory,Blue,U,U,{U},1,Uncommon,Instant,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/34/perfected-theory,https://cards.scryfall.io/normal/front/d/0/d0ecae06-bc5a-4886-84df-c2900816f226.jpg?1788329222,34
Plan for All Outcomes,Plan for All Outcomes,Blue,U,U,{3}{U},4,Uncommon,Enchantment,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,3.0,,,,normal,https://scryfall.com/card/fra/35/plan-for-all-outcomes,https://cards.scryfall.io/normal/front/c/4/c4effc17-0d0e-423a-b5f2-597ea6c71f67.jpg?1789576786,35
Precise Redaction,Precise Redaction,Blue,U,U,{1}{U},2,Uncommon,Instant,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,0.5,,,,normal,https://scryfall.com/card/fra/36/precise-redaction,https://cards.scryfall.io/normal/front/9/2/9244efad-35ab-45c0-b173-4bc68276cb67.jpg?1789470790,36
Protege's Awakening,Protege's Awakening,Blue,U,U,{3}{U},4,Common,Sorcery,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/37/proteges-awakening,https://cards.scryfall.io/normal/front/a/0/a08c7ec2-4c6a-4db2-85a7-41afe8731523.jpg?1788878176,37
Seasoned Cryomancer,Seasoned Cryomancer,Blue,U,U,{1}{U}{U},3,Mythic,Creature — Human Wizard,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/38/seasoned-cryomancer,https://cards.scryfall.io/normal/front/5/1/51d86875-420d-4e82-b69c-4feeb99c9428.jpg?1789470781,38
Semester Foreseer // Peer Review,Semester Foreseer,Blue,U,WU,{3}{U},4,Common,Creature — Human Wizard,Mono Blue,U,WU,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,Peer Review,{2}{W/U},prepare,https://scryfall.com/card/fra/39/semester-foreseer-peer-review,https://cards.scryfall.io/normal/front/7/e/7e5a640b-fd88-4b5a-9dfc-1d8f5a5cef41.jpg?1789127516,39
Sphinx of False Conclusions,Sphinx of False Conclusions,Blue,U,U,{2}{U}{U},4,Rare,Creature — Sphinx Illusion,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,4.0,,,,normal,https://scryfall.com/card/fra/40/sphinx-of-false-conclusions,https://cards.scryfall.io/normal/front/0/8/08ffbd51-2bd3-4262-8809-09576ce2b6f5.jpg?1789385594,40
Sphinx's Approach,Sphinx's Approach,Blue,U,U,{1}{U}{U},3,Common,Instant,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,1.5,,,,normal,https://scryfall.com/card/fra/41/sphinxs-approach,https://cards.scryfall.io/normal/front/f/4/f49be090-c745-40e5-bc1c-605b8d98acdf.jpg?1789644816,41
Surveillance Phantasm,Surveillance Phantasm,Blue,U,U,{1}{U},2,Common,Creature — Bird Illusion,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.0,,,,normal,https://scryfall.com/card/fra/42/surveillance-phantasm,https://cards.scryfall.io/normal/front/9/d/9df8a06d-c7de-49af-8c01-06dca3dfef4b.jpg?1789385597,42
"The Theorist, Jace Beleren","The Theorist, Jace Beleren",Blue,U,U,{2}{U}{U},4,Mythic,Legendary Planeswalker — Jace,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,5.0,,,,normal,https://scryfall.com/card/fra/43/the-theorist-jace-beleren,https://cards.scryfall.io/normal/front/2/0/20bb8c55-4b0b-425f-8201-b54fa2fdde86.jpg?1788329228,43
Theorist's Proxy,Theorist's Proxy,Blue,U,U,{1}{U},2,Rare,Creature — Illusion,Mono Blue,U,,1,|Blue||White/Blue||Blue/Black||Blue/Red||Blue/Green||White/Blue/Black||White/Blue/Red||White/Blue/Green||Blue/Black/Red||Blue/Black/Green||Blue/Red/Green||White/Blue/Black/Red||White/Blue/Black/Green||White/Blue/Red/Green||Blue/Black/Red/Green||White/Blue/Black/Red/Green|,2.5,,,,normal,https://scryfall.com/card/fra/44/theorists-proxy,https://cards.scryfall.io/normal/front/7/1/710302ca-c4be-4069-8ce1-f531414c74e9.jpg?1788878151,44
