Card Name,Color,Mana Cost,Mana Value,Rarity,Card Type,Power,Toughness,J2SJosh Rating,Scryfall URL,Image URL
Kiora of Fire and Ashes,Red,{4}{R}{R},6,Uncommon,Legendary Creature — Merfolk Noble,2,2,4.0,https://scryfall.com/card/fra/247/kiora-of-fire-and-ashes,https://cards.scryfall.io/normal/front/0/8/08657053-86f9-4c52-abf0-d9cdd443ae3b.jpg?1789127995
Lich's Relic,Black,{B},1,Rare,Artifact — Equipment,,,4.0,https://scryfall.com/card/fra/57/lichs-relic,https://cards.scryfall.io/normal/front/b/1/b105511d-5022-4a84-b6ce-4bb433e93a62.jpg?1789644819
Liliana the Faultless,White,{W},1,Rare,Legendary Creature — Human Cleric,1,1,4.0,https://scryfall.com/card/fra/200/liliana-the-faultless,https://cards.scryfall.io/normal/front/7/0/70d8c400-87dc-4f15-808f-e54a95d779fc.jpg?1788329194
Null Summoner,Multicolor (Blue/Black),{2}{U}{B},4,Rare,Creature — Human Warlock,4,2,4.0,https://scryfall.com/card/fra/142/null-summoner,https://cards.scryfall.io/normal/front/3/a/3afdc75a-1bf5-4f2f-84eb-d82f77a095cd.jpg?1789127648
Overwrite the Multiverse,Black,{4}{B}{B},6,Mythic,Sorcery,,,4.0,https://scryfall.com/card/fra/59/overwrite-the-multiverse,https://cards.scryfall.io/normal/front/c/4/c4554f5b-791b-48f6-bf54-ad28699e1beb.jpg?1788952080
Proctor of Potential,Multicolor (White/Blue),{W}{U},2,Rare,Creature — Human Cleric,3,1,4.0,https://scryfall.com/card/fra/145/proctor-of-potential,https://cards.scryfall.io/normal/front/c/f/cf0eec8c-0475-4050-8144-481a9bb13a0f.jpg?1789127661
Rise of the Deathbringer,Black,{4}{B},5,Rare,Instant,,,4.0,https://scryfall.com/card/fra/63/rise-of-the-deathbringer,https://cards.scryfall.io/normal/front/8/1/811719ad-b5a3-4d31-8c6f-5dbdfccf7c1f.jpg?1789470807
"Saheeli, Jewel of Avishkar",Multicolor (Blue/Red),{2}{U}{R},4,Uncommon,Legendary Creature — Human Artificer,2,4,4.0,https://scryfall.com/card/fra/275/saheeli-jewel-of-avishkar,https://cards.scryfall.io/normal/front/2/8/28d84ef6-e190-46d4-882d-1cea5e111e2a.jpg?1789644883
Sanctum Lurker,Black,{2}{B},3,Rare,Creature — Horror,3,2,4.0,https://scryfall.com/card/fra/64/sanctum-lurker,https://cards.scryfall.io/normal/front/2/1/2185c08f-bb4d-49d5-8b6c-c629a48bb61c.jpg?1789556729
Seasoned Cryomancer,Blue,{1}{U}{U},3,Mythic,Creature — Human Wizard,2,2,4.0,https://scryfall.com/card/fra/38/seasoned-cryomancer,https://cards.scryfall.io/normal/front/5/1/51d86875-420d-4e82-b69c-4feeb99c9428.jpg?1789470781
Simulacrum Shaper,Green,{1}{G}{G},3,Rare,Creature — Elf Druid,2,2,4.0,https://scryfall.com/card/fra/113/simulacrum-shaper,https://cards.scryfall.io/normal/front/7/c/7c725702-8696-4e5a-8318-62f5e2616d52.jpg?1789470857
Sphinx of False Conclusions,Blue,{2}{U}{U},4,Rare,Creature — Sphinx Illusion,4,2,4.0,https://scryfall.com/card/fra/40/sphinx-of-false-conclusions,https://cards.scryfall.io/normal/front/0/8/08ffbd51-2bd3-4262-8809-09576ce2b6f5.jpg?1789385594
Stingcaster Mage,Red,{1}{R},2,Mythic,Creature — Human Wizard,2,1,4.0,https://scryfall.com/card/fra/93/stingcaster-mage,https://cards.scryfall.io/normal/front/2/d/2d8e8e5f-3bf5-490d-aa9c-9df2b26f1460.jpg?1788329303
The Echoverse Fulcrum,Colorless,{2},2,Mythic,Legendary Artifact,,,4.0,https://scryfall.com/card/fra/169/the-echoverse-fulcrum,https://cards.scryfall.io/normal/front/d/7/d71d250f-c0e0-44b2-877c-76f3bcab4f34.jpg?1789385887
"Vraska, the Cutting Glare",Multicolor (Black/Green),{B}{B}{G},3,Rare,Legendary Creature — Gorgon Assassin,4,4,4.0,https://scryfall.com/card/fra/278/vraska-the-cutting-glare,https://cards.scryfall.io/normal/front/5/c/5c28b012-5efb-488f-a1c1-09e2dddfd6ee.jpg?1789127776
Ajani Resolute,White,{1}{W},2,Mythic,Legendary Planeswalker — Ajani,,,3.5,https://scryfall.com/card/fra/195/ajani-resolute,https://cards.scryfall.io/normal/front/a/5/a5e1a7dd-8c49-4435-935c-bcc78704082b.jpg?1788329189
Bloodline Recollector // Ancestral Craving,Black,{1}{B},2,Mythic,Creature — Vampire Warlock,2,2,3.5,https://scryfall.com/card/fra/49/bloodline-recollector-ancestral-craving,https://cards.scryfall.io/normal/front/4/f/4fcc913e-f736-460a-b24b-022fa2e861b9.jpg?1788329264
Bloombrute,Multicolor (White/Green),{2}{G}{W},4,Uncommon,Creature — Plant Elemental,4,4,3.5,https://scryfall.com/card/fra/124/bloombrute,https://cards.scryfall.io/normal/front/6/b/6b804503-9c70-4b1f-bb13-a65fb6dd3ef8.jpg?1789644843
"Chandra, Chill of Compliance",Blue,{1}{U}{U},3,Mythic,Legendary Planeswalker — Chandra,,,3.5,https://scryfall.com/card/fra/212/chandra-chill-of-compliance,https://cards.scryfall.io/normal/front/2/4/240f58ab-944c-4f4c-9df9-5f40b132bf3e.jpg?1788329242
Clash of Elements,Multicolor (Blue/Red),{1}{U}{R},3,Uncommon,Instant,,,3.5,https://scryfall.com/card/fra/126/clash-of-elements,https://cards.scryfall.io/normal/front/b/6/b61bcef7-5832-45e6-a2bc-26d4f23707fc.jpg?1788878210
Craftwork Crusher,Multicolor (Red/Green),{3}{R}{R}{G}{G},7,Uncommon,Artifact Creature — Boar Construct,7,5,3.5,https://scryfall.com/card/fra/127/craftwork-crusher,https://cards.scryfall.io/normal/front/0/3/03f9839c-aa07-4ee7-847b-091e47ab80c4.jpg?1789470711
Craterclaw Colossus,Red,{4}{R}{R}{R},7,Mythic,Artifact Creature — Beast Construct,5,5,3.5,https://scryfall.com/card/fra/78/craterclaw-colossus,https://cards.scryfall.io/normal/front/4/7/47793a51-08c6-4ad2-a7e5-a4484d83a5cd.jpg?1788329298
Desperate Futurescribe,Multicolor (White/Blue),{2}{W}{U},4,Uncommon,Creature — Kor Scout,3,4,3.5,https://scryfall.com/card/fra/129/desperate-futurescribe,https://cards.scryfall.io/normal/front/c/f/cfaa3ebd-5c21-4e99-a0dd-8426d19b53a5.jpg?1789644852
Enlightened Confidant,White,{1}{W},2,Mythic,Creature — Kor Cleric,2,1,3.5,https://scryfall.com/card/fra/5/enlightened-confidant,https://cards.scryfall.io/normal/front/4/8/483fcc58-cc6e-4452-a696-7b38e117c837.jpg?1788329184
Extended Absence,Black,{3}{B},4,Common,Instant,,,3.5,https://scryfall.com/card/fra/54/extended-absence,https://cards.scryfall.io/normal/front/e/b/eb4b6ed8-782e-4473-abc9-d50bf2275c6a.jpg?1789556713
Fatehold Charm,Multicolor (White/Blue),{W}{U},2,Uncommon,Instant,,,3.5,https://scryfall.com/card/fra/132/fatehold-charm,https://cards.scryfall.io/normal/front/c/f/cfc54011-647e-4428-bcdb-59400e1da49d.jpg?1789127637
Flickering Hound,White,{3}{W},4,Rare,Creature — Dog,2,2,3.5,https://scryfall.com/card/fra/7/flickering-hound,https://cards.scryfall.io/normal/front/6/8/686f3a25-305d-4f02-8972-eba7b8e9635f.jpg?1789470769
Fulminous Forte,Red,{2}{R},3,Uncommon,Instant,,,3.5,https://scryfall.com/card/fra/84/fulminous-forte,https://cards.scryfall.io/normal/front/1/9/19acb2b5-3b3e-43f0-bd81-8426ed3d9c55.jpg?1789614832
"Hapatra, the Desert Fang",Multicolor (Black/Green),{2}{B}{B}{G},5,Uncommon,Legendary Creature — Human Cleric,3,3,3.5,https://scryfall.com/card/fra/271/hapatra-the-desert-fang,https://cards.scryfall.io/normal/front/c/f/cf7c1534-af41-4991-b3c3-f0a34ae330b5.jpg?1789385991
Hexhaven Battalion,White,{4}{W}{W},6,Common,Sorcery,,,3.5,https://scryfall.com/card/fra/12/hexhaven-battalion,https://cards.scryfall.io/normal/front/3/b/3b6ac80e-c726-4bd0-893a-e666041a04a6.jpg?1789556695
Hexhaven Invigorator,Green,{G}{G}{G}{G},4,Mythic,Creature — Chimera Horror,6,6,3.5,https://scryfall.com/card/fra/106/hexhaven-invigorator,https://cards.scryfall.io/normal/front/9/a/9a446cae-e93c-4574-8ffd-7688f9729a8a.jpg?1788878191
"Jiang Yanggu, Never Alone",Green,{3}{G},4,Uncommon,Legendary Creature — Human Druid,2,2,3.5,https://scryfall.com/card/fra/261/jiang-yanggu-never-alone,https://cards.scryfall.io/normal/front/f/5/f5a0bb3e-8119-4739-8684-e61d1d607dcb.jpg?1789014406
Kindred Judgment,White,{5}{W}{W},7,Rare,Sorcery,,,3.5,https://scryfall.com/card/fra/13/kindred-judgment,https://cards.scryfall.io/normal/front/6/f/6f9f814b-8249-4e48-a05e-4c84060fe6fb.jpg?1789470776
Koth of the Homestead,White,{2}{W},3,Uncommon,Legendary Creature — Human Citizen,2,3,3.5,https://scryfall.com/card/fra/199/koth-of-the-homestead,https://cards.scryfall.io/normal/front/9/2/920703fd-2a2f-454b-8829-af8f2afda4f4.jpg?1789568532
"Lyra, Archangel of Dawn",White,{2}{W},3,Rare,Legendary Creature — Angel Knight,3,3,3.5,https://scryfall.com/card/fra/201/lyra-archangel-of-dawn,https://cards.scryfall.io/normal/front/8/6/86a3866e-68a8-402c-baf0-1908e98e3995.jpg?1789127693
"Lyra, Tolarian Archangel",Blue,{1}{U}{U},3,Rare,Legendary Creature — Angel Wizard,3,3,3.5,https://scryfall.com/card/fra/217/lyra-tolarian-archangel,https://cards.scryfall.io/normal/front/a/5/a5183681-447b-4023-91f7-00e9338f4417.jpg?1789128032
Multiply by Zero,Black,{1}{B},2,Uncommon,Instant,,,3.5,https://scryfall.com/card/fra/58/multiply-by-zero,https://cards.scryfall.io/normal/front/9/0/90d684a4-9639-4792-8760-2011a7a85370.jpg?1789644823
No Admittance,Red,{1}{R},2,Common,Sorcery,,,3.5,https://scryfall.com/card/fra/89/no-admittance,https://cards.scryfall.io/normal/front/1/1/11ba4fdd-cc03-4bb6-a493-91a9785771d0.jpg?1788878170
"Proft, Consulting Detective",Blue,{1}{U},2,Uncommon,Legendary Creature — Human Detective,2,2,3.5,https://scryfall.com/card/fra/218/proft-consulting-detective,https://cards.scryfall.io/normal/front/b/8/b8466593-40fe-4557-89b2-760c1c92087b.jpg?1789127178
Puppet Crafting,Green,{1}{G},2,Rare,Enchantment — Aura,,,3.5,https://scryfall.com/card/fra/111/puppet-crafting,https://cards.scryfall.io/normal/front/6/b/6b8789a6-3b63-4198-af5f-c2f2f49fafd9.jpg?1789470736
Recursive Recruitment,Multicolor (Blue/Black),{2}{U}{B},4,Uncommon,Sorcery,,,3.5,https://scryfall.com/card/fra/147/recursive-recruitment,https://cards.scryfall.io/normal/front/6/8/68fddb6a-86d4-4ebb-907d-fdcaadebc4b3.jpg?1789556898
Repurposed Enforcer,White,{1}{W},2,Rare,Creature — Human Soldier,3,2,3.5,https://scryfall.com/card/fra/19/repurposed-enforcer,https://cards.scryfall.io/normal/front/3/5/35000e93-85d3-44f8-976a-5918ee4c71e0.jpg?1788878108
Stingerquill Charm,Multicolor (Black/Red),{B}{R},2,Uncommon,Instant,,,3.5,https://scryfall.com/card/fra/150/stingerquill-charm,https://cards.scryfall.io/normal/front/8/1/81733ff7-e611-43ee-bf38-6bb700676017.jpg?1789127652
Tarmogoyf,Green,{1}{G},2,Mythic,Creature — Lhurgoyf,*,1+*,3.5,https://scryfall.com/card/fra/116/tarmogoyf,https://cards.scryfall.io/normal/front/8/b/8be5ee47-8f8a-4e3c-b1a1-9ca0e1fdec7f.jpg?1789127270
Tenured Tethermage,Multicolor (Red/Green),{1}{R}{G},3,Rare,Creature — Human Artificer,1,1,3.5,https://scryfall.com/card/fra/154/tenured-tethermage,https://cards.scryfall.io/normal/front/1/7/1703306d-6a3d-4ab8-bf58-a9992236ef0f.jpg?1789385792
Theorist's Sanctum,Colorless,,0,Rare,Land — Island,,,3.5,https://scryfall.com/card/fra/191/theorists-sanctum,https://cards.scryfall.io/normal/front/2/2/22db5bba-46c9-4a26-821d-303ddb386ea4.jpg?1788878256
Twisted Fates,Multicolor (White/Black),{2}{W}{W}{B},5,Uncommon,Sorcery,,,3.5,https://scryfall.com/card/fra/158/twisted-fates,https://cards.scryfall.io/normal/front/c/7/c7c0765d-38fd-4d7b-bfb4-49b10ff5939b.jpg?1789614785
Vigorbloom Charm,Multicolor (White/Green),{G}{W},2,Uncommon,Instant,,,3.5,https://scryfall.com/card/fra/160/vigorbloom-charm,https://cards.scryfall.io/normal/front/2/b/2b198e10-b507-4314-a29c-a219f06e48b7.jpg?1789127656
Violent Echoes,Red,{2}{R}{R},4,Uncommon,Instant,,,3.5,https://scryfall.com/card/fra/95/violent-echoes,https://cards.scryfall.io/normal/front/a/d/ad03ba90-2442-4a71-94df-2088b5b63662.jpg?1789127599
Way of the Wildspeaker,Green,{4}{G},5,Uncommon,Legendary Enchantment,,,3.5,https://scryfall.com/card/fra/268/way-of-the-wildspeaker,https://cards.scryfall.io/normal/front/a/2/a252cb01-537b-4afe-9abc-81a98c4a1439.jpg?1789729602
Your Fate Ends Here,White,{2}{W},3,Uncommon,Instant,,,3.5,https://scryfall.com/card/fra/24/your-fate-ends-here,https://cards.scryfall.io/normal/front/2/5/25000a17-b701-4d69-b2ef-2c74029199d3.jpg?1789729751
"Arni, Humble Scribe",Blue,{2}{U},3,Uncommon,Legendary Creature — Human Wizard,3,2,3.0,https://scryfall.com/card/fra/211/arni-humble-scribe,https://cards.scryfall.io/normal/front/8/e/8e3a2239-9348-4639-9318-e9e35b2cf86b.jpg?1789568409
Break Under Pressure,Black,{2}{B},3,Uncommon,Instant,,,3.0,https://scryfall.com/card/fra/50/break-under-pressure,https://cards.scryfall.io/normal/front/4/6/46974d94-e900-43e4-92b5-4fb9b9f7cf46.jpg?1789385622
Carnivorous Cultivator // Enroot,Green,{1}{G},2,Rare,Creature — Elf Warlock,2,3,3.0,https://scryfall.com/card/fra/100/carnivorous-cultivator-enroot,https://cards.scryfall.io/normal/front/7/9/79dd5c54-5ea5-47b5-8f9b-50ed57a5ea45.jpg?1789385967
Countersculpt,Blue,{U}{U},2,Uncommon,Instant,,,3.0,https://scryfall.com/card/fra/25/countersculpt,https://cards.scryfall.io/normal/front/1/4/145b928d-a7ff-4fe5-ae4d-bbae7b1d955b.jpg?1788878107
Deserted Beach,Colorless,,0,Rare,Land,,,3.0,https://scryfall.com/card/fra/176/deserted-beach,https://cards.scryfall.io/normal/front/5/6/56dae4c4-3e71-4a32-979b-4e26d9c9e96c.jpg?1788878239
"Edgar, Ancient Bloodlord",Multicolor (White/Black),{W}{B},2,Uncommon,Legendary Creature — Vampire Noble,2,3,3.0,https://scryfall.com/card/fra/270/edgar-ancient-bloodlord,https://cards.scryfall.io/normal/front/7/c/7c619fed-2394-4efc-8cdc-6df5f51c1f57.jpg?1789127743
"Edgar, Moonlit Sovereign",Green,{3}{G}{G},5,Uncommon,Legendary Creature — Werewolf Noble,4,4,3.0,https://scryfall.com/card/fra/257/edgar-moonlit-sovereign,https://cards.scryfall.io/normal/front/d/a/dad6afc9-8505-4cdd-bf79-e9ba4670f2bb.jpg?1789127966
Face Yourself,Red,{5}{R}{R},7,Rare,Sorcery,,,3.0,https://scryfall.com/card/fra/83/face-yourself,https://cards.scryfall.io/normal/front/3/c/3ccf8f64-19bd-4fdf-b70a-30a042bacf2f.jpg?1789127528
"Gallia, Tragic Host",Black,{1}{B},2,Uncommon,Legendary Creature — Zombie Satyr,2,1,3.0,https://scryfall.com/card/fra/228/gallia-tragic-host,https://cards.scryfall.io/normal/front/4/9/498fa810-8522-4020-b773-52ad404c9f65.jpg?1789385697
"Hapatra, the Desert Frost",Blue,{3}{U},4,Uncommon,Legendary Creature — Human Wizard,4,3,3.0,https://scryfall.com/card/fra/215/hapatra-the-desert-frost,https://cards.scryfall.io/normal/front/8/5/85faaa9d-4656-4365-871d-7cba53ed0996.jpg?1789387113
Haunted Ridge,Colorless,,0,Rare,Land,,,3.0,https://scryfall.com/card/fra/180/haunted-ridge,https://cards.scryfall.io/normal/front/a/4/a4e4966b-8963-4fac-a8bf-e778e063c7dd.jpg?1788878241
Last Gasp,Black,{1}{B},2,Common,Instant,,,3.0,https://scryfall.com/card/fra/56/last-gasp,https://cards.scryfall.io/normal/front/2/3/2381d123-d8c7-4822-98fe-b1c365beb5ed.jpg?1789127524
Liliana the Repentant,Black,{1}{B},2,Rare,Legendary Creature — Human Warlock,2,2,3.0,https://scryfall.com/card/fra/231/liliana-the-repentant,https://cards.scryfall.io/normal/front/1/e/1eb25a6c-d6b4-465d-990e-f1ab86b26b69.jpg?1788329273
"Mabel, Valley Hero",Multicolor (White/Red),{1}{R}{W},3,Uncommon,Legendary Creature — Mouse Soldier,1,2,3.0,https://scryfall.com/card/fra/274/mabel-valley-hero,https://cards.scryfall.io/normal/front/4/7/47abea4b-9848-48aa-bc1b-f04f4799e920.jpg?1790135467
"Marwyn, the Clearcutter",Red,{R},1,Uncommon,Legendary Creature — Elf Warrior,2,1,3.0,https://scryfall.com/card/fra/249/marwyn-the-clearcutter,https://cards.scryfall.io/normal/front/f/9/f93da73c-ca8b-438e-8387-6109dac3fc1a.jpg?1789644549
Memory Trap,White,{2}{W},3,Common,Enchantment,,,3.0,https://scryfall.com/card/fra/15/memory-trap,https://cards.scryfall.io/normal/front/2/f/2f5345ae-4489-4d05-b2d5-c71285254f05.jpg?1788866058
Mind Meanderer,Multicolor (Blue/Green),{3}{G}{U}{U},6,Uncommon,Creature — Bird Fish Illusion,4,4,3.0,https://scryfall.com/card/fra/141/mind-meanderer,https://cards.scryfall.io/normal/front/9/4/94c290ce-252c-42b3-bcb0-c1ef621df566.jpg?1789470861
Mindseeker Oculus,Blue,{2}{U},3,Common,Creature — Homunculus,2,1,3.0,https://scryfall.com/card/fra/33/mindseeker-oculus,https://cards.scryfall.io/normal/front/f/5/f5324741-353a-4a70-adb2-b631b00806dd.jpg?1789556707
Overgrown Farmland,Colorless,,0,Rare,Land,,,3.0,https://scryfall.com/card/fra/185/overgrown-farmland,https://cards.scryfall.io/normal/front/1/7/178e61e4-472f-42cd-9d3b-4880c2acc527.jpg?1788878246
Plan for All Outcomes,Blue,{3}{U},4,Uncommon,Enchantment,,,3.0,https://scryfall.com/card/fra/35/plan-for-all-outcomes,https://cards.scryfall.io/normal/front/c/4/c4effc17-0d0e-423a-b5f2-597ea6c71f67.jpg?1789576786
Primal Witchstalker,Multicolor (Black/Green),{1}{B}{G},3,Uncommon,Creature — Wolf,2,1,3.0,https://scryfall.com/card/fra/144/primal-witchstalker,https://cards.scryfall.io/normal/front/0/4/04e64af7-cca1-499e-8951-f386e84c8b5b.jpg?1789644850
Rockfall Vale,Colorless,,0,Rare,Land,,,3.0,https://scryfall.com/card/fra/186/rockfall-vale,https://cards.scryfall.io/normal/front/e/3/e3c8a8b6-23ba-45ad-80d1-8e2dc79897f7.jpg?1788878243
"Ruric Thar, Biomagus",Blue,{4}{U}{U},6,Uncommon,Legendary Creature — Ogre Crab Wizard,4,6,3.0,https://scryfall.com/card/fra/219/ruric-thar-biomagus,https://cards.scryfall.io/normal/front/0/0/00af4e87-5576-4a43-9422-4c35b2b66775.jpg?1789127229
"Saheeli, Consul of Oversight",White,{3}{W}{W},5,Uncommon,Legendary Creature — Human Advisor,4,4,3.0,https://scryfall.com/card/fra/203/saheeli-consul-of-oversight,https://cards.scryfall.io/normal/front/0/7/07572be0-6610-493c-a21e-14b78e9805c9.jpg?1789645608
"Samut, Hazoret's Champion",Red,{1}{R},2,Rare,Legendary Creature — Human Warrior Cleric,2,2,3.0,https://scryfall.com/card/fra/251/samut-hazorets-champion,https://cards.scryfall.io/normal/front/b/a/ba920f23-f05c-410e-8516-c93abedf1d4d.jpg?1789729662
Shipwreck Marsh,Colorless,,0,Rare,Land,,,3.0,https://scryfall.com/card/fra/189/shipwreck-marsh,https://cards.scryfall.io/normal/front/9/e/9e944c5b-68ac-4a30-bbd4-09a4288319ce.jpg?1788878245
Solarium Sentry,Multicolor (White/Green),{G}{W},2,Rare,Creature — Cat Soldier,3,3,3.0,https://scryfall.com/card/fra/148/solarium-sentry,https://cards.scryfall.io/normal/front/1/e/1ef12dcf-df50-4da6-8c4c-e2937ba9698e.jpg?1789127651
Solitary Cell,Multicolor (White/Red),{R}{W},2,Rare,Artifact,,,3.0,https://scryfall.com/card/fra/149/solitary-cell,https://cards.scryfall.io/normal/front/5/1/5142bbb6-194c-4b12-b11a-1a21c9fe81a6.jpg?1788260690
Stinging Vitriol,Multicolor (Black/Red),{B}{R},2,Rare,Sorcery,,,3.0,https://scryfall.com/card/fra/152/stinging-vitriol,https://cards.scryfall.io/normal/front/a/7/a7d78297-7411-4ec5-8931-a25146869d5b.jpg?1789385971
"Teyo, Lightshield Expert",White,{1}{W},2,Uncommon,Legendary Creature — Human Cleric,1,1,3.0,https://scryfall.com/card/fra/204/teyo-lightshield-expert,https://cards.scryfall.io/normal/front/5/f/5f7521d7-9f1f-4f03-b2ea-dd2a1b1e4e5b.jpg?1789471515
Vraska's Final Mercy,Black,{B}{B},2,Rare,Sorcery,,,3.0,https://scryfall.com/card/fra/71/vraskas-final-mercy,https://cards.scryfall.io/normal/front/9/9/992bd991-7cfb-459f-bafd-9a44f3c925c5.jpg?1789699369
"Vraska, Soul of Stone",Multicolor (White/Blue/Red),{U}{R}{W},3,Rare,Legendary Creature — Gorgon Wizard,3,3,3.0,https://scryfall.com/card/fra/277/vraska-soul-of-stone,https://cards.scryfall.io/normal/front/f/3/f3869752-eade-4e7a-8dd1-68cafb9e10be.jpg?1789128008
Wrath of the Bloodmane,Red,{2}{R},3,Common,Instant,,,3.0,https://scryfall.com/card/fra/96/wrath-of-the-bloodmane,https://cards.scryfall.io/normal/front/b/5/b5b55617-684a-4036-be9b-a3b24fc9cd5a.jpg?1789385820
Afterthought Sentry,Colorless,{2},2,Common,Artifact Creature — Gargoyle,2,2,2.5,https://scryfall.com/card/fra/166/afterthought-sentry,https://cards.scryfall.io/normal/front/4/d/4d4b3bf7-a149-4099-b97d-4e36a87dfa60.jpg?1789385875
Awaken the Inferno,Red,{4}{R},5,Common,Sorcery,,,2.5,https://scryfall.com/card/fra/74/awaken-the-inferno,https://cards.scryfall.io/normal/front/c/5/c596c4ec-8480-4be9-a45d-700398a126f6.jpg?1789556812
Bestial Incursion,Green,{3}{G},4,Common,Sorcery,,,2.5,https://scryfall.com/card/fra/98/bestial-incursion,https://cards.scryfall.io/normal/front/e/0/e0de5f66-f0df-4866-9f73-104ce50411b4.jpg?1789127248
Command the Stage,Red,{2}{R},3,Uncommon,Sorcery,,,2.5,https://scryfall.com/card/fra/77/command-the-stage,https://cards.scryfall.io/normal/front/f/3/f3307da2-6dad-4ef2-9614-a7d34f38088e.jpg?1789644825
