Card Name,Front Face Name,Color,Color Code,Color Identity,Mana Cost,Mana Value,Rarity,Card Type,Power,Toughness,Loyalty,Layout,Second Half,Second Half Cost,Second Half Type,J2SJosh Rating,Rating Note,J2SJosh Commentary,Source Section,Source Article,Collector Number,Scryfall URL,Image URL,Scryfall ID
Guiding Hydra,Guiding Hydra,White,W,W,{X}{W},1,Rare,Creature — Hydra Horror,1,0,,normal,,,,4.0,,"This can take over a game in a hurry if your deck goes even slightly wide. We’re not talking mega thick here, just having a normal amount of creatures on the battlefield is enough to make this thing get out of hand.

So why am I stopping at a 4.0?

The same old reason: it can hit the battlefield, immediately eat a removal spell, and leave you with absolutely nothing to show for it.

If it survives, though, your opponent is probably going to have a very bad time.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,11,https://scryfall.com/card/fra/11/guiding-hydra,https://cards.scryfall.io/normal/front/a/5/a53eb840-039d-4c45-b701-d58cb26b1a6c.jpg?1789644816,a53eb840-039d-4c45-b701-d58cb26b1a6c
Hexhaven Battalion,Hexhaven Battalion,White,W,W,{4}{W}{W},6,Common,Sorcery,,,,normal,,,,3.5,,"This might seem a little high at first, but it reminds me quite a bit of a previously underrated card in Imperial Oath.

The slow double surveil isn’t quite on the same level as getting an immediate triple scry, which is part of why I have this rated a little lower. It’s also slightly less splashable, although landcycling helps make up for that by giving you some fixing when you need it.

It’s not flashy, but there’s a lot of quiet value packed into this card, and I think it’s going to play better than it looks.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,12,https://scryfall.com/card/fra/12/hexhaven-battalion,https://cards.scryfall.io/normal/front/3/b/3b6ac80e-c726-4bd0-893a-e666041a04a6.jpg?1789556695,3b6ac80e-c726-4bd0-893a-e666041a04a6
Kindred Judgment,Kindred Judgment,White,W,W,{5}{W}{W},7,Rare,Sorcery,,,,normal,,,,3.5,,"I’d be all in on this at six mana, but seven is an entirely different ballgame when it comes to sweepers.

It’s also not guaranteed to leave your best creature behind. There are going to be plenty of boards where you have to name a different creature type just to deal with whatever nonsense your opponent has assembled.

Will this cause an impressive number of groans over the course of the format? Absolutely. Will it also spend plenty of games rotting in someone’s hand while they’re getting punched in the face? Also absolutely.

The ceiling is brutal, but seven mana is seven mana.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,13,https://scryfall.com/card/fra/13/kindred-judgment,https://cards.scryfall.io/normal/front/6/f/6f9f814b-8249-4e48-a05e-4c84060fe6fb.jpg?1789470776,6f9f814b-8249-4e48-a05e-4c84060fe6fb
Loyal Tutor,Loyal Tutor,White,W,W,{W},1,Rare,Instant,,,,normal,,,,1.0,,"I’m usually terrified for my sanity whenever someone starts a sentence with “hear me out.” That said, hear me out on this one…there are actually times I would play it.

I’ve never been a big fan of tutors in Limited, and I’m even lower on ones that only put the card on top of your deck instead of directly into your hand.

There are some REALLY busted planeswalkers in this set, though, so I think it’s totally reasonable to jam this if you have a 5.0 lurking somewhere in your deck. At that point, I’m willing to make an exception.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,14,https://scryfall.com/card/fra/14/loyal-tutor,https://cards.scryfall.io/normal/front/4/9/490dae91-94ce-42a9-a11f-6c5e77c4e486.jpg?1788878096,490dae91-94ce-42a9-a11f-6c5e77c4e486
Memory Trap,Memory Trap,White,W,W,{2}{W},3,Common,Enchantment,,,,normal,,,,3.0,,"In my memory, this type of card has never really been a trap. Oblivion Rings are going to Oblivion Ring.

This is just a solid removal spell that can hit basically anything on your opponent’s side of the battlefield. There’s not much more you need to ask for out of a card like this, and you’re always going to be happy having a couple of them in your deck.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,15,https://scryfall.com/card/fra/15/memory-trap,https://cards.scryfall.io/normal/front/2/f/2f5345ae-4489-4d05-b2d5-c71285254f05.jpg?1788866058,2f5345ae-4489-4d05-b2d5-c71285254f05
Predictive Preparations,Predictive Preparations,White,W,W,{1}{W},2,Common,Sorcery,,,,normal,,,,1.5,,"I predict this is going to see more play than it probably should because it reminds people of Travel Preparations.

Sure, this only requires one color, but you’re also paying twice as much to flash it back, which takes a lot of the shine off that comparison.

This feels like the kind of card I end up playing when my deck is kind of bad and my best plan is to pretend I’m the beatdown and hope I can run my opponent over before they start doing something actually powerful.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,16,https://scryfall.com/card/fra/16/predictive-preparations,https://cards.scryfall.io/normal/front/5/0/50a0e5f0-3c39-4f16-9a73-eec8ef71f12e.jpg?1789556696,50a0e5f0-3c39-4f16-9a73-eec8ef71f12e
Prophesied End,Prophesied End,White,W,W,{1}{W},2,Uncommon,Instant,,,,normal,,,,2.0,,"It doesn’t take a prophecy to see that this is going to end up squarely in the filler removal slot. You aren’t going to prioritize it if you already have a few solid pieces of removal, but it’s not completely embarrassing if you need some interaction.

I’m much more likely to play this in a controlling deck than an aggressive one because giving your opponent an extra card is bad, mmkay.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,17,https://scryfall.com/card/fra/17/prophesied-end,https://cards.scryfall.io/normal/front/1/f/1f95399a-9766-4f3d-aa6a-ece55e0530d9.jpg?1788951920,1f95399a-9766-4f3d-aa6a-ece55e0530d9
Refute Destiny,Refute Destiny,White,W,W,{1}{W},2,Uncommon,Sorcery,,,,normal,,,,0.5,,"It’s this card’s destiny to end up in the sideboard.

If you’re playing Bo1, this type of narrow answer should almost never make your starting deck. Of course, we all know exactly how this is going to go: someone is going to jam it into their deck without even reading the color restriction, and somehow it’ll line up perfectly to blow out one of my bombs.

That won’t make it good. It’ll just make me annoyed.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,18,https://scryfall.com/card/fra/18/refute-destiny,https://cards.scryfall.io/normal/front/2/c/2c588954-c6eb-4aae-a2fa-0651ccf2d90a.jpg?1789470778,2c588954-c6eb-4aae-a2fa-0651ccf2d90a
Repurposed Enforcer,Repurposed Enforcer,White,W,W,{1}{W},2,Rare,Creature — Human Soldier,3,2,,normal,,,,3.5,,"I actually think this is closer to a 3.25 than a 3.5, but I rounded up because I felt bad for him having to go through life like that.

There are definitely games where this comes down on turn two and lets you squeeze a pile of value out of it. The catch is that you really need the right combination of other creatures and removal spells around it to maximize that upside.

There are also going to be games where it feels pretty disappointing. It doesn’t do much when you’re on the back foot, and it gets significantly worse when it’s left trying to do everything on its own.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,19,https://scryfall.com/card/fra/19/repurposed-enforcer,https://cards.scryfall.io/normal/front/3/5/35000e93-85d3-44f8-976a-5918ee4c71e0.jpg?1788878108,35000e93-85d3-44f8-976a-5918ee4c71e0
Return to the Light Realms,Return to the Light Realms,White,W,W,{7}{W}{W},9,Mythic,Sorcery,,,,normal,,,,1.0,,"This costs nine freaking mana and doesn’t outright win the game when it resolves. That makes it very tempting to give it the old 0.0 and move on with my life.

My argument for the 1.0 is that there are going to be some decks that actually want this, especially out of the sideboard in slower matchups. The other nice thing is that so few decks will even consider playing it that, if you do want one, you should be able to pick it up pretty late whenever it gets opened at your table.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,20,https://scryfall.com/card/fra/20/return-to-the-light-realms,https://cards.scryfall.io/normal/front/9/e/9e72f397-2384-40f1-882b-f627664d97df.jpg?1788878107,9e72f397-2384-40f1-882b-f627664d97df
Shatterwing Pegasus,Shatterwing Pegasus,White,W,W,{2}{W},3,Common,Creature — Pegasus,2,3,,normal,,,,2.0,,"Five mana to pump your team is a pretty significant step down from the four-mana version we just had on Dwarven Provisioner, and that card was already considered extremely meh. That was also in a format where going wide was much easier, and the effect came stapled to a two-drop.

We’re also a long way removed from the days when a two-power flyer for three mana was considered a good rate.

I’m not completely out on this, but I’m going to be pretty unhappy if I have to play more than one.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,21,https://scryfall.com/card/fra/21/shatterwing-pegasus,https://cards.scryfall.io/normal/front/e/2/e29095de-59ec-4562-ba8e-73f952e457ae.jpg?1789385580,e29095de-59ec-4562-ba8e-73f952e457ae
Surgical Precision,Surgical Precision,White,W,W,{1}{W},2,Common,Sorcery,,,,normal,,,,2.5,,"We all remember Murdock's Crusade being a massive overperformer in Marvel Super Heroes. I don’t think this is going to be quite as good because this format doesn’t have Power Up making it much easier to guarantee you have a target.

That said, getting to kill their biggest creature while also triggering some life gain can create a ridiculous swing in the game. It even has the nice fallback of basically being able to “cycle” for two mana while tossing in a couple points of life.

The ceiling is high enough that I’m happy to play it, even if it’s a little less reliable than its predecessor.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,22,https://scryfall.com/card/fra/22/surgical-precision,https://cards.scryfall.io/normal/front/d/3/d3acf176-ef02-4729-88c4-0f0dfbfdada4.jpg?1789385570,d3acf176-ef02-4729-88c4-0f0dfbfdada4
Unflinching Hortimancer,Unflinching Hortimancer,White,W,W,{1}{W},2,Common,Creature — Human Cleric,2,1,,normal,,,,2.0,,"Don’t flinch when it comes to taking this if you’re in the life gain deck. It can be a pretty important piece there, even if it takes a couple of triggers before it really starts doing anything impressive.

The nice part is that you probably won’t have to fight too hard for it. Outside of that specific shell, this is mostly just filler, which should let you pick it up later than the life gain deck actually values it.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,23,https://scryfall.com/card/fra/23/unflinching-hortimancer,https://cards.scryfall.io/normal/front/6/3/63f82985-c9c2-4d0a-ac4f-560166bebd9f.jpg?1789556741,63f82985-c9c2-4d0a-ac4f-560166bebd9f
Your Fate Ends Here,Your Fate Ends Here,White,W,W,{2}{W},3,Uncommon,Instant,,,,normal,,,,3.5,,"Let’s be honest here: how often are you really pointing a three-mana removal spell at something that costs less than three? Not very.

That means this is basically Murder with upside. It can also hit planeswalkers, and you get a surveil tossed in for good measure.",White,https://mtgazone.com/reality-fracture-fra-limited-set-review-white/,24,https://scryfall.com/card/fra/24/your-fate-ends-here,https://cards.scryfall.io/normal/front/2/5/25000a17-b701-4d69-b2ef-2c74029199d3.jpg?1789729751,25000a17-b701-4d69-b2ef-2c74029199d3
Countersculpt,Countersculpt,Blue,U,U,{U}{U},2,Uncommon,Instant,,,,normal,,,,3.0,,"The times this is straight-up better than Counterspell are going to feel insane. The times it’s basically a better Cancel will be merely fine.

That said, I love when small bonuses get stapled onto a card that was already hovering around playability. Getting both the possible cost reduction and the Empower Jace upside pushes this from something I’d tolerate into something I’m actively happy to play.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,25,https://scryfall.com/card/fra/25/countersculpt,https://cards.scryfall.io/normal/front/1/4/145b928d-a7ff-4fe5-ae4d-bbae7b1d955b.jpg?1788878107,145b928d-a7ff-4fe5-ae4d-bbae7b1d955b
Cruel Calculations,Cruel Calculations,Blue,U,U,{2}{U},3,Rare,Sorcery,,,,normal,,,,0.5,,"Most of the time, this is a stone-cold nothing for three mana, which makes me incredibly wary of putting it anywhere near my deck.

There are a few self-mill effects that can help enable it and squeeze a little more value out of the card, but the juice just isn’t worth the squeeze. My calculations say this should almost never be anywhere near your starting 40.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,26,https://scryfall.com/card/fra/26/cruel-calculations,https://cards.scryfall.io/normal/front/f/7/f76c4d8e-3e1f-4264-99af-1b8adb9a06be.jpg?1789127482,f76c4d8e-3e1f-4264-99af-1b8adb9a06be
Cryotheory Adept,Cryotheory Adept,Blue,U,U,{1}{U},2,Common,Creature — Human Wizard,2,1,,normal,,,,1.5,,"This would be significantly better with just one extra point of toughness. Starting at one makes it really difficult to protect this while also using your spells somewhere else, which is exactly where you’d like to be getting value from it.

I do like the potential graveyard value, though. Being able to squeeze something extra out of it later keeps it from being a total dud, even if that part is a little pricey.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,27,https://scryfall.com/card/fra/27/cryotheory-adept,https://cards.scryfall.io/normal/front/9/b/9ba1f7ce-3404-4932-9795-22967707f762.jpg?1789556701,9ba1f7ce-3404-4932-9795-22967707f762
Diviner of Victory // Unwind History,Diviner of Victory,Blue,U,U,{U},1,Rare,Creature — Dwarf Wizard,1,1,,prepare,Unwind History,{1}{U},Sorcery,2.5,,"This card feels so close to being great, but it comes up just a little short on almost every path.

It’s sort of a Man-o'-War, but it’s limited to creatures with mana value three or less while also costing double blue if you don’t pay in installments. It’s only a 1/1 on its own, even if it does have the potential to grow, and you can’t even bounce your own creatures to squeeze out some extra value.

That leaves you with a card I’ll happily play if I’m already in the colors, but it’s not something I’m going to get overly excited about.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,28,https://scryfall.com/card/fra/28/diviner-of-victory-unwind-history,https://cards.scryfall.io/normal/front/0/8/0853bb80-8664-432a-8457-600139fd96d5.jpg?1788878145,0853bb80-8664-432a-8457-600139fd96d5
Divining Duelist,Divining Duelist,Blue,U,U,{2}{U},3,Common,Creature — Merfolk Wizard,3,2,,normal,,,,2.0,,"I’m usually pretty low on three-mana creatures with only two toughness because that’s a great way to spend three mana just to have your opponent trade up on mana with a cheaper creature.

None of the three abilities here are especially exciting on their own, but the modality does add some real value. The biggest perk is being able to hold up a counterspell and then drop this if your opponent decides not to give you anything worth countering.

It’s not flashy, but flexibility goes a long way toward making mediocre effects add up to a perfectly acceptable card.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,29,https://scryfall.com/card/fra/29/divining-duelist,https://cards.scryfall.io/normal/front/9/6/960c7335-331d-488b-be68-2ad1c1c695dc.jpg?1789556709,960c7335-331d-488b-be68-2ad1c1c695dc
Icy Reception,Icy Reception,Blue,U,U,{1}{U},2,Common,Instant,,,,normal,,,,2.0,,"I really want to love this card because a cheap creature counterspell that can also double as a combat trick for only two mana sounds great.

The problem is that there are going to be plenty of spots where you desperately wish this were just an Essence Scatter or, better yet, a Mana Leak. A guy can dream, right?

This should do some solid work in the early game, but it gets considerably worse as the game goes long. Better players are also going to start sequencing around it once they know it exists, which makes it even harder to get full value.

Useful, flexible, and cheap—but definitely not something I want to rely on as my primary interaction.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,30,https://scryfall.com/card/fra/30/icy-reception,https://cards.scryfall.io/normal/front/8/d/8d754b96-5e44-45af-9c7a-b0da59fbe4c3.jpg?1788779540,8d754b96-5e44-45af-9c7a-b0da59fbe4c3
Infinite Coursework,Infinite Coursework,Blue,U,U,{2}{U},3,Common,Enchantment — Aura,,,,normal,,,,2.5,,"Infinite Coursework sounds like one of the creative punishment divisions in hell. Granted, it goes on your opponent’s creature, so that’s their problem to deal with.

This style of removal has gotten noticeably better now that these effects tend to shut off abilities instead of just keeping the creature tapped. At three mana, this ends up feeling a lot like a less versatile Oblivion Ring.

It’s not flashy, but it’s efficient enough that I’m going to be perfectly happy playing it.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,31,https://scryfall.com/card/fra/31/infinite-coursework,https://cards.scryfall.io/normal/front/a/5/a5988272-faaa-463d-a0a1-a8e96b946bad.jpg?1789385916,a5988272-faaa-463d-a0a1-a8e96b946bad
Jace's Machinations,Jace's Machinations,Blue,U,U,{2}{U},3,Rare,Instant,,,,normal,,,,2.5,,"This should usually play out like an instant-speed Divination with some upside. You can cast it on your opponent’s end step, draw a card, untap, draw again, and still have two counters left over.

That’s already a really solid rate, but there’s also some extra room to get cute with it if you have any of the cards that add abilities to a Jace planeswalker.

Even without doing anything fancy, I’m perfectly happy with the baseline here.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,32,https://scryfall.com/card/fra/32/jaces-machinations,https://cards.scryfall.io/normal/front/2/8/282588b9-3656-453b-aa25-2419e078ddc1.jpg?1788878150,282588b9-3656-453b-aa25-2419e078ddc1
Mindseeker Oculus,Mindseeker Oculus,Blue,U,U,{2}{U},3,Common,Creature — Homunculus,2,1,,normal,,,,3.0,,"I do love me some creatures with card advantage built in so I’ll definitely be seeking these out in draft.

You can immediately cash this in for a card and still have a surveil waiting for you on the next turn. That’s a pretty nice pile of value before you even start considering whatever other synergies your deck might have.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,33,https://scryfall.com/card/fra/33/mindseeker-oculus,https://cards.scryfall.io/normal/front/f/5/f5324741-353a-4a70-adb2-b631b00806dd.jpg?1789556707,f5324741-353a-4a70-adb2-b631b00806dd
Perfected Theory,Perfected Theory,Blue,U,U,{U},1,Uncommon,Instant,,,,normal,,,,2.0,,"In theory, this feels like removal. Unfortunately, the plan is far from perfect.

Outside of combat, it’s not doing much of anything, and using it can leave you wide open to getting blown out if your opponent has the right response. That’s a pretty big downside for something you’d like to rely on as interaction.

Still, it only costs one mana, and cheap combat tricks have a habit of overperforming in Limited.

I’m not excited to play it, but I’m also not going to be shocked when it causes a few blowouts of its own.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,34,https://scryfall.com/card/fra/34/perfected-theory,https://cards.scryfall.io/normal/front/d/0/d0ecae06-bc5a-4886-84df-c2900816f226.jpg?1788329222,d0ecae06-bc5a-4886-84df-c2900816f226
Plan for All Outcomes,Plan for All Outcomes,Blue,U,U,{3}{U},4,Uncommon,Enchantment,,,,normal,,,,3.0,,"The going rate for an Uneasy Partings effect is right around four mana these days, with the real value coming from whatever extra goodies get stapled onto it.

You give up instant speed here, but in exchange you get to Empower Jace every turn as long as you keep casting noncreature spells. That can add up to a pretty ridiculous amount of value if your deck is built to keep the triggers flowing.

Seems like a pretty solid plan for most outcomes.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,35,https://scryfall.com/card/fra/35/plan-for-all-outcomes,https://cards.scryfall.io/normal/front/c/4/c4effc17-0d0e-423a-b5f2-597ea6c71f67.jpg?1789576786,c4effc17-0d0e-423a-b5f2-597ea6c71f67
Precise Redaction,Precise Redaction,Blue,U,U,{1}{U},2,Uncommon,Instant,,,,normal,,,,0.5,,"This should be in precisely zero of your starting decks.

I do appreciate seeing some old-school color hosers show up as sideboard options, but that’s exactly where this belongs. You do not want to be staring at this rotting in your hand while your opponent is over there playing Gruul and wondering why you voluntarily registered a blank piece of cardboard.

Bring it in when the matchup calls for it. Otherwise, leave it parked on the bench.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,36,https://scryfall.com/card/fra/36/precise-redaction,https://cards.scryfall.io/normal/front/9/2/9244efad-35ab-45c0-b173-4bc68276cb67.jpg?1789470790,9244efad-35ab-45c0-b173-4bc68276cb67
Protege's Awakening,Protege's Awakening,Blue,U,U,{3}{U},4,Common,Sorcery,,,,normal,,,,2.0,,"This is three cards for four mana, which is still a pretty solid deal even by today’s standards. Inflation, am I right? Or power creep. Whatever term you want to use.

The problem is that you only get two of those cards up front, and the last one creates a bit of a logjam with any other Empower Jace abilities you’re trying to activate.

The raw value is definitely there, but the delayed payoff keeps it from being something I’m especially excited about.",Blue,https://mtgazone.com/reality-fracture-fra-limited-set-review-blue/,37,https://scryfall.com/card/fra/37/proteges-awakening,https://cards.scryfall.io/normal/front/a/0/a08c7ec2-4c6a-4db2-85a7-41afe8731523.jpg?1788878176,a08c7ec2-4c6a-4db2-85a7-41afe8731523
